Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo Juli 2022,Chrome 103.0.5060.66,,,2022-07-06 11:14:16,2022-07-06 11:22:29,8m - 12.850s,ERROR
,,,,,,,
Test Cases/SKT ERP/Sales/2 - 1A_Create Sales Order with 11prcnt PPN (Box Partisi1 Partisi2),Chrome 103.0.5060.66,,,2022-07-06 11:14:16,2022-07-06 11:14:58,41.590s,PASSED
"openBrowser("""")",Chrome 103.0.5060.66,,,2022-07-06 11:14:17,2022-07-06 11:14:20,2.764s,PASSED
"navigateToUrl(""http://localhost:3001/login"")",Chrome 103.0.5060.66,,,2022-07-06 11:14:20,2022-07-06 11:14:21,1.727s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/input_login_username""), ""devshelly"")",Chrome 103.0.5060.66,,,2022-07-06 11:14:21,2022-07-06 11:14:22,0.878s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/input_login_password""), ""bD8Rq1FIAurX2vfab/lFTQ=="")",Chrome 103.0.5060.66,,,2022-07-06 11:14:22,2022-07-06 11:14:23,0.540s,PASSED
maximizeWindow(),Chrome 103.0.5060.66,,,2022-07-06 11:14:23,2022-07-06 11:14:23,0.159s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/button_login""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:23,2022-07-06 11:14:23,0.444s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Tab Sales""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:23,2022-07-06 11:14:25,2.062s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Tab Sales Order""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:25,2022-07-06 11:14:26,0.889s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Add New Sales Order""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:26,2022-07-06 11:14:29,2.427s,PASSED
"no_Sales_order_box_partisi = ""git4box4prts""",Chrome 103.0.5060.66,,,2022-07-06 11:14:29,2022-07-06 11:14:29,0.001s,PASSED
noSalesOrderBoxPartisi = no_Sales_order_box_partisi,Chrome 103.0.5060.66,,,2022-07-06 11:14:29,2022-07-06 11:14:29,0.571s,PASSED
"qty = ""100""",Chrome 103.0.5060.66,,,2022-07-06 11:14:29,2022-07-06 11:14:29,0.000s,PASSED
qtySalesOrderBoxPartisi = qty,Chrome 103.0.5060.66,,,2022-07-06 11:14:29,2022-07-06 11:14:29,0.000s,PASSED
"price = ""9880""",Chrome 103.0.5060.66,,,2022-07-06 11:14:29,2022-07-06 11:14:29,0.000s,PASSED
"price2 = ""9800""",Chrome 103.0.5060.66,,,2022-07-06 11:14:29,2022-07-06 11:14:29,0.006s,PASSED
"setText(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Input No Sales Order""), no_Sales_order_box_partisi)",Chrome 103.0.5060.66,,,2022-07-06 11:14:29,2022-07-06 11:14:30,1.081s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Sales Person""), ""sujadi"")",Chrome 103.0.5060.66,,,2022-07-06 11:14:30,2022-07-06 11:14:31,0.977s,PASSED
delay(3),Chrome 103.0.5060.66,,,2022-07-06 11:14:31,2022-07-06 11:14:34,3.041s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Constant/Sales/303 - Sujadi""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:34,2022-07-06 11:14:35,0.465s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Customer Field""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:35,2022-07-06 11:14:35,0.568s,PASSED
"setText(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Customer""), ""jayamas"")",Chrome 103.0.5060.66,,,2022-07-06 11:14:35,2022-07-06 11:14:36,0.939s,PASSED
delay(3),Chrome 103.0.5060.66,,,2022-07-06 11:14:36,2022-07-06 11:14:39,3.007s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Constant/Customer/PT Jayamas Medica Industri""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:39,2022-07-06 11:14:40,0.638s,PASSED
"scrollToElement(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Billing Address Field""), 30)",Chrome 103.0.5060.66,,,2022-07-06 11:14:40,2022-07-06 11:14:40,0.476s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Billing Address Field""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:40,2022-07-06 11:14:41,0.453s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Constant/Address/Billing Address PT Jayamas Media Industri""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:41,2022-07-06 11:14:41,0.537s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Shipping Address Field""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:41,2022-07-06 11:14:42,0.526s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Constant/Address/Shipping Address PT Jayamas Medica Industri""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:42,2022-07-06 11:14:43,0.612s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/i_tambah item""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:43,2022-07-06 11:14:43,0.876s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Type Field""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:43,2022-07-06 11:14:44,0.473s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Tipe Box""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:44,2022-07-06 11:14:45,0.721s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/MasterCard Field""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:45,2022-07-06 11:14:45,0.568s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Constant/Mastercard/PT Jayamas Medica Industri (1402 - 001076 - BOX USG 250cc (K0173) - WK150 M125)""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:45,2022-07-06 11:14:46,0.803s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Quantity""), qty)",Chrome 103.0.5060.66,,,2022-07-06 11:14:46,2022-07-06 11:14:47,1.220s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Unit Field""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:47,2022-07-06 11:14:48,0.560s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Unit Pcs""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:48,2022-07-06 11:14:49,0.697s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Harga""), price)",Chrome 103.0.5060.66,,,2022-07-06 11:14:49,2022-07-06 11:14:50,1.333s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Tanggal Kirim""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:50,2022-07-06 11:14:50,0.615s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Tanggal 30""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:50,2022-07-06 11:14:51,0.657s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Save Sales Order Line""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:51,2022-07-06 11:14:52,0.912s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Edit Sales Order Line 2""))",Chrome 103.0.5060.66,,,2022-07-06 11:14:52,2022-07-06 11:14:53,1.161s,PASSED
