Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo 28 Juni 2022,Chrome 103.0.5060.53,,,2022-06-27 15:47:03,2022-06-27 15:50:19,3m - 15.888s,PASSED
,,,,,,,
Test Cases/Demo 28 Juni 2022/1A_Create Sales Order with 11prcnt PPN (Box Partisi1 Partisi2),Chrome 103.0.5060.53,,,2022-06-27 15:47:03,2022-06-27 15:47:47,43.822s,PASSED
"openBrowser("""")",Chrome 103.0.5060.53,,,2022-06-27 15:47:04,2022-06-27 15:47:07,2.855s,PASSED
"navigateToUrl(""http://localhost:3001/login"")",Chrome 103.0.5060.53,,,2022-06-27 15:47:07,2022-06-27 15:47:09,2.027s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/input_login_username""), ""devshelly"")",Chrome 103.0.5060.53,,,2022-06-27 15:47:09,2022-06-27 15:47:10,0.934s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/input_login_password""), ""bD8Rq1FIAurX2vfab/lFTQ=="")",Chrome 103.0.5060.53,,,2022-06-27 15:47:10,2022-06-27 15:47:10,0.552s,PASSED
maximizeWindow(),Chrome 103.0.5060.53,,,2022-06-27 15:47:10,2022-06-27 15:47:10,0.146s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/button_login""))",Chrome 103.0.5060.53,,,2022-06-27 15:47:10,2022-06-27 15:47:12,1.325s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Tab Sales""))",Chrome 103.0.5060.53,,,2022-06-27 15:47:12,2022-06-27 15:47:14,2.252s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Tab Sales Order""))",Chrome 103.0.5060.53,,,2022-06-27 15:47:14,2022-06-27 15:47:15,0.932s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Add New Sales Order""))",Chrome 103.0.5060.53,,,2022-06-27 15:47:15,2022-06-27 15:47:17,2.481s,PASSED
"no_Sales_order_box_partisi = ""bxprts""",Chrome 103.0.5060.53,,,2022-06-27 15:47:17,2022-06-27 15:47:17,0.000s,PASSED
noSalesOrderBoxPartisi = no_Sales_order_box_partisi,Chrome 103.0.5060.53,,,2022-06-27 15:47:17,2022-06-27 15:47:18,0.238s,PASSED
"setText(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Sales Order/Input No Sales Order""), no_Sales_order_box_partisi)",Chrome 103.0.5060.53,,,2022-06-27 15:47:18,2022-06-27 15:47:19,0.979s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Input Sales Person""), ""sujadi"")",Chrome 103.0.5060.53,,,2022-06-27 15:47:19,2022-06-27 15:47:20,0.995s,PASSED
delay(3),Chrome 103.0.5060.53,,,2022-06-27 15:47:20,2022-06-27 15:47:23,3.041s,PASSED
