Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo 28 Juni 2022,Chrome 103.0.5060.53,,,2022-06-27 16:01:57,2022-06-27 16:05:03,3m - 6.435s,PASSED
,,,,,,,
Test Cases/Demo 28 Juni 2022/1A_Create Sales Order with 11prcnt PPN (Box Partisi1 Partisi2),Chrome 103.0.5060.53,,,2022-06-27 16:01:57,2022-06-27 16:02:41,43.989s,PASSED
"openBrowser("""")",Chrome 103.0.5060.53,,,2022-06-27 16:01:58,2022-06-27 16:02:00,2.776s,PASSED
"navigateToUrl(""http://localhost:3001/login"")",Chrome 103.0.5060.53,,,2022-06-27 16:02:00,2022-06-27 16:02:02,1.972s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/input_login_username""), ""devshelly"")",Chrome 103.0.5060.53,,,2022-06-27 16:02:02,2022-06-27 16:02:03,0.967s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/input_login_password""), ""bD8Rq1FIAurX2vfab/lFTQ=="")",Chrome 103.0.5060.53,,,2022-06-27 16:02:03,2022-06-27 16:02:04,0.547s,PASSED
maximizeWindow(),Chrome 103.0.5060.53,,,2022-06-27 16:02:04,2022-06-27 16:02:04,0.165s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/button_login""))",Chrome 103.0.5060.53,,,2022-06-27 16:02:04,2022-06-27 16:02:05,0.472s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Tab Sales""))",Chrome 103.0.5060.53,,,2022-06-27 16:02:05,2022-06-27 16:02:07,2.753s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Sales Order/Tab Sales Order""))",Chrome 103.0.5060.53,,,2022-06-27 16:02:07,2022-06-27 16:02:08,0.926s,PASSED
